id,name,item_display_info_id,item_quality_id,inventory_slot_id,sheath_type_id
17,"Martin Fury",7016,6,4,3
25,"Worn Shortsword",1542,1,21,3
35,"Bent Staff",472,1,17,2
36,"Worn Mace",5194,1,21,3
37,"Worn Axe",14029,1,21,3
38,"Recruit's Shirt",9891,1,4,0
39,"Recruit's Pants",9892,0,7,0
40,"Recruit's Boots",10141,1,8,0
41,"OLDRecruit's Belt",4553,1,6,0
42,"OLDSquire's Belt",4562,1,6,0
43,"Squire's Boots",10272,1,8,0
44,"Squire's Pants",9937,0,7,0
45,"Squire's Shirt",3265,1,4,0
46,"OLDFootpad's Belt",4528,1,6,0
47,"Footpad's Shoes",9915,1,8,0
48,"Footpad's Pants",9913,0,7,0
49,"Footpad's Shirt",9906,1,4,0
50,"OLDInitiate's Belt",4535,1,6,0
51,"Neophyte's Boots",9946,1,8,0
52,"Neophyte's Pants",9945,0,7,0
53,"Neophyte's Shirt",9944,1,4,0
54,"OLDNovice's Belt",4541,1,6,0
55,"Apprentice's Boots",9929,1,8,0
56,"Apprentice's Robe",12647,0,20,0
57,"Acolyte's Robe",12645,0,20,0
58,"OLDAcolyte's Belt",4499,1,6,0
59,"Acolyte's Shoes",3261,1,8,0
60,"Layered Tunic",16891,1,5,0
61,"Dwarven Leather Pants",16953,1,7,0
77,"Deprecated Outfitter Cloth Armor",2645,1,5,0
79,"Dwarven Cloth Britches",16847,1,7,0
80,"Soft Fur-lined Shoes",16854,1,8,0
85,"Dirty Leather Vest",16883,1,5,0
86,"Deprecated Old Belt",4525,1,6,0
87,"Deprecated Old Boots",261,1,8,0
88,"Deprecated Old Pants",374,0,7,0
89,"OLDThick Trapper's Shirt",7848,1,4,0
90,"OLDDwarven Initiate's Belt",4519,1,6,0
91,"OLDDwarven Initiate's Pants",368,0,7,0
92,"OLDDwarven Initiate's Boots",249,1,8,0
93,"OLDDwarven Initiate's Shirt",369,1,4,0
94,"Deprecated Dwarven Novice's Belt",4522,1,6,0
95,"Deprecated Dwarven Novice's Boots",242,1,8,0
97,"Deprecated Dwarven Novice's Robe",12662,0,20,0
98,"Deprecated Dwarven Squire's Belt",4524,1,6,0
99,"Deprecated Dwarven Squire's Boots",257,1,8,0
100,"Deprecated Dwarven Squire's Pants",372,0,7,0
101,"Deprecated Dwarven Squire's Shirt",373,1,4,0
102,"Deprecated Dwarven Recruit's Belt",4523,1,6,0
103,"Deprecated Dwarven Recruit's Boots",5901,1,8,0
104,"Deprecated Sturdy Brown Pants",370,0,7,0
105,"Deprecated Dwarven Recruit's Shirt",371,1,4,0
113,"Deprecated Dwarven Apprentice Pants",365,0,7,0
114,"Deprecated Dwarven Apprentice Boots",245,1,8,0
115,"Deprecated Dwarven Apprentice Belt",4517,1,6,0
119,"Deprecated Rogue's Vest",5702,1,4,0
120,"Thug Pants",10006,0,7,0
121,"Thug Boots",10008,1,8,0
122,"OLDThug Belt",4538,1,6,0
123,"Deprecated Orc Apprentice Shirt",383,1,4,0
124,"Deprecated Orc Apprentice Pants",3268,0,7,0
125,"Deprecated Orc Apprentice Boots",3269,1,8,0
126,"Deprecated Orc Apprentice Belt",4543,1,6,0
127,"Trapper's Shirt",9996,1,4,0
128,"Deprecated Tauren Trapper's Pants",396,0,7,0
129,"Rugged Trapper's Boots",9977,1,8,0
130,"Deprecated Tauren Trapper's Belt",4572,1,6,0
131,"Deprecated Orc Acolyte's Belt",4542,1,6,0
132,"Deprecated Orc Acolyte's Boots",295,1,8,0
133,"Deprecated Orc Acolyte's Shirt",7912,1,4,0
134,"Deprecated Stiff Leather Shirt",387,1,4,0
135,"Deprecated Stiff Leather Pants",386,0,7,0
136,"Deprecated Old Leather Boots",311,1,8,0
137,"OLDNeophyte's Belt",4540,1,6,0
138,"Deprecated War Harness",9346,1,4,0
139,"Brawler's Pants",9988,0,7,0
140,"Brawler's Boots",9992,1,8,0
141,"OLDBrawler's Belt",4507,1,6,0
143,"Monster - Shield, Stormwind Guard",2080,0,14,4
146,"OLDRugged Trapper's Belt",4544,1,6,0
147,"Rugged Trapper's Pants",9975,0,7,0
148,"Rugged Trapper's Shirt",9976,1,4,0
149,"Deprecated Tauren Apprentice Belt",4569,1,6,0
150,"Deprecated Tauren Apprentice Pants",392,0,7,0
151,"Deprecated Tauren Apprentice Shirt",393,1,4,0
152,"OLDPrimitive Leather Belt",4570,1,6,0
153,"Primitive Kilt",10050,0,7,0
154,"Primitive Mantle",10058,1,4,0
155,"Deprecated Tauren Recruit's Belt",4571,1,6,0
156,"Deprecated Tauren Recruit's Pants",394,0,7,0
157,"Deprecated Tauren Recruit's Shirt",395,1,4,0
184,"Deprecated Small Brown Pouch",362,1,18,0
192,"Martin Thunder",5279,1,21,3
193,"Tattered Cloth Vest",16579,1,5,0
194,"Tattered Cloth Pants",16580,1,7,0
195,"Tattered Cloth Boots",16582,1,8,0
200,"Thick Cloth Vest",16777,1,5,0
201,"Thick Cloth Pants",16778,1,7,0
202,"Thick Cloth Shoes",16780,1,8,0
203,"Thick Cloth Gloves",16779,1,10,0
209,"Dirty Leather Pants",17140,1,7,0
210,"Dirty Leather Boots",14444,1,8,0
236,"Cured Leather Armor",14278,1,5,0
237,"Cured Leather Pants",14476,1,7,0
238,"Cured Leather Boots",14474,1,8,0
239,"Cured Leather Gloves",14475,1,10,0
285,"Scalemail Vest",16101,1,5,0
286,"Scalemail Pants",10400,1,7,0
287,"Scalemail Boots",12745,1,8,0
647,Destiny,20190,4,17,1
710,"Bracers of the People's Militia",16936,1,9,0
711,"Tattered Cloth Gloves",16581,1,10,0
714,"Dirty Leather Gloves",14445,1,10,0
718,"Scalemail Gloves",6986,1,10,0
719,"Rabbit Handler Gloves",16970,1,10,0
720,"Brawler Gloves",2368,3,10,0
727,"Notched Shortsword",26577,2,13,3
744,"Thunderbrew's Boot Flask",18059,2,12,0
744,"Thunderbrew's Boot Flask",18059,2,12,0
746,"Lord Brandon's Tabard (Test)",3865,1,19,0
751,"Deprecated Wolf Femur",1515,0,21,3
753,"Dragonmaw Shortsword",20094,2,13,3
754,"Shortsword of Vengeance",20218,3,13,3
756,"Tunnel Pick",6264,2,17,1
763,"Ice-covered Bracers",17007,1,9,0
766,"Flanged Mace",19621,1,21,3
767,"Long Bo Staff",20443,1,17,2
768,"Lumberjack Axe",5012,1,21,3
776,Vendetta,6452,3,13,3
778,"Kobold Excavation Pick",6259,1,21,1
781,"Stone Gnoll Hammer",19644,1,21,3
788,"Test Fire Sword",5750,1,21,3
789,"Stout Battlehammer",19699,2,21,3
790,"Forester's Axe",19401,2,21,3
791,"Gnarled Ash Staff",20334,3,17,2
792,"Knitted Sandals",16855,1,8,0
793,"Knitted Gloves",14449,1,10,0
794,"Knitted Pants",14450,1,7,0
795,"Knitted Tunic",14154,1,5,0
796,"Rough Leather Boots",22973,1,8,0
797,"Rough Leather Gloves",17068,1,10,0
798,"Rough Leather Pants",22972,1,7,0
799,"Rough Leather Vest",2106,1,5,0
804,"Large Blue Sack",2588,1,18,0
805,"Small Red Pouch",2586,1,18,0
806,"Deprecated Brown Leather Satchel",2585,1,18,0
809,Bloodrazor,20033,4,21,3
810,"Hammer of the Northern Wind",19726,4,21,3
811,"Axe of the Deep Woods",19137,4,21,3
812,"Glowing Brightwood Staff",20257,4,17,2
816,"Small Hand Blade",6472,2,13,3
820,"Slicer Blade",6470,2,13,3
821,"Riverpaw Leather Vest",17102,2,5,0
826,"Brutish Riverpaw Axe",19271,2,21,3
827,"Wicked Blackjack",3498,2,21,3
828,"Small Blue Pouch",2584,1,18,0
832,"Silver Defias Belt",6847,2,6,0
833,Lifestone,22978,4,12,0
833,Lifestone,22978,4,12,0
837,"Heavy Weave Armor",14466,1,5,0
838,"Heavy Weave Pants",14468,1,7,0
839,"Heavy Weave Gloves",14467,1,10,0
840,"Heavy Weave Shoes",16821,1,8,0
843,"Tanned Leather Boots",14470,1,8,0
844,"Tanned Leather Gloves",2101,1,10,0
845,"Tanned Leather Pants",9640,1,7,0
846,"Tanned Leather Jerkin",14472,1,5,0
847,"Chainmail Armor",1019,1,5,0
848,"Chainmail Pants",697,1,7,0
849,"Chainmail Boots",6869,1,8,0
850,"Chainmail Gloves",6871,1,10,0
851,Cutlass,22077,1,13,3
852,Mace,8287,1,13,3
853,Hatchet,22102,1,13,3
854,"Quarter Staff",22147,1,17,2
855,"Deprecated White Leather Satchel",1281,1,18,0
856,"Blue Leather Bag",1025,1,18,0
857,"Large Red Sack",4056,1,18,0
859,"Fine Cloth Shirt",9880,1,4,0
860,"Cavalier's Boots",3443,1,8,0
862,"Runed Ring",18397,3,11,0
863,"Gloom Reaper",19213,2,13,3
864,"Knightly Longsword",26579,2,13,3
865,"Leaden Mace",5212,2,13,3
866,"Monk's Staff",20357,2,17,2
867,"Gloves of Holy Might",17180,4,10,0
868,"Ardent Custodian",19713,4,21,3
869,"Dazzling Longsword",5163,4,21,3
870,"Fiery War Axe",19303,4,17,1
870,"Fiery War Axe",33458,4,17,1
871,"Flurry Axe",19235,4,13,3
872,Rockslicer,19242,2,17,1
873,"Staff of Jordan",20298,4,17,2
876,"Worn Wooden Buckler",1680,0,14,4
880,"Staff of Horrors",20382,2,17,2
885,"Black Metal Axe",14036,2,21,3
886,"Black Metal Shortsword",20093,2,21,3
888,"Naga Battle Gloves",17182,3,10,0
890,"Twisted Chanter's Staff",20386,3,17,2
892,"Gnoll Casting Gloves",16950,2,10,0
897,"Madwolf Bracers",17011,2,9,0
899,"Venom Web Fang",6459,2,13,3
905,"Brown Leather Shoulderpads (Test)",1057,1,3,0
906,"Tan Leather Shoulderpads (Test)",1058,1,3,0
907,"Black Mail Shoulderpads of might (Test)",6480,1,3,0
908,"Plate Shoulderpad (Test)",6545,1,3,0
909,"Silver Mail Shoulderpads (Test)",6557,1,3,0
911,"Ironwood Treebranch",28628,2,17,1
913,"Huge Ogre Sword",20170,2,17,1
914,"Large Ogre Chain Armor",2829,2,5,0
917,"Deprecated Shadow Leather Armor",1080,0,5,0
918,"Deviate Hide Pack",1283,1,18,0
920,"Wicked Spiked Mace",19703,2,21,3
922,"Dacian Falx",22097,1,17,1
923,Longsword,22080,1,21,3
924,Maul,22131,1,17,1
925,Flail,4351,1,21,3
926,"Battle Axe",22108,1,17,1
927,"Double Axe",22106,1,13,3
928,"Long Staff",22151,1,17,2
930,"Deprecated Deep Pocket Pouch",1283,1,18,0
931,"Deprecated Heavy Brown Sack",1183,1,18,0
