id,name,item_display_info_id,item_quality_id,inventory_slot_id,sheath_type_id
17,"Martin Fury",7016,6,4,3
25,"Worn Shortsword",1542,1,21,3
35,"Bent Staff",472,1,17,2
36,"Worn Mace",5194,1,21,3
37,"Worn Axe",14029,1,21,3
38,"Recruit's Shirt",9891,1,4,0
39,"Recruit's Pants",9892,0,7,0
40,"Recruit's Boots",10141,1,8,0
43,"Squire's Boots",9938,1,8,0
44,"Squire's Pants",9937,0,7,0
45,"Squire's Shirt",3265,1,4,0
47,"Footpad's Shoes",9915,1,8,0
48,"Footpad's Pants",9913,0,7,0
49,"Footpad's Shirt",9906,1,4,0
51,"Neophyte's Boots",9946,1,8,0
52,"Neophyte's Pants",9945,0,7,0
53,"Neophyte's Shirt",9944,1,4,0
55,"Apprentice's Boots",9929,1,8,0
56,"Apprentice's Robe",12647,0,20,0
57,"Acolyte's Robe",12645,0,20,0
59,"Acolyte's Shoes",3261,1,8,0
60,"Layered Tunic",16891,1,5,0
61,"Dwarven Leather Pants",16953,1,7,0
79,"Dwarven Cloth Britches",16847,1,7,0
80,"Soft Fur-lined Shoes",16854,1,8,0
85,"Dirty Leather Vest",16883,1,5,0
88,"Deprecated Old Pants",374,0,7,0
91,"OLDDwarven Initiate's Pants",368,0,7,0
100,"Deprecated Dwarven Squire's Pants",372,0,7,0
119,"Deprecated Rogue's Vest",5702,1,4,0
120,"Thug Pants",10006,0,7,0
121,"Thug Boots",10008,1,8,0
127,"Trapper's Shirt",9996,1,4,0
128,"Deprecated Tauren Trapper's Pants",396,0,7,0
129,"Rugged Trapper's Boots",9977,1,8,0
138,"Deprecated War Harness",9346,1,4,0
139,"Brawler's Pants",9988,0,7,0
140,"Brawler's Boots",9992,1,8,0
143,"Monster - Shield, Stormwind Guard",2080,0,14,4
147,"Rugged Trapper's Pants",9975,0,7,0
148,"Rugged Trapper's Shirt",9976,1,4,0
153,"Primitive Kilt",10050,0,7,0
154,"Primitive Mantle",10058,1,4,0
156,"Deprecated Tauren Recruit's Pants",394,0,7,0
192,"Martin's Broken Staff",5279,0,21,3
193,"Tattered Cloth Vest",16579,1,5,0
194,"Tattered Cloth Pants",16580,1,7,0
195,"Tattered Cloth Boots",16582,1,8,0
200,"Thick Cloth Vest",16777,1,5,0
201,"Thick Cloth Pants",16778,1,7,0
202,"Thick Cloth Shoes",16780,1,8,0
203,"Thick Cloth Gloves",16779,1,10,0
209,"Dirty Leather Pants",17140,1,7,0
210,"Dirty Leather Boots",14444,1,8,0
236,"Cured Leather Armor",14278,1,5,0
237,"Cured Leather Pants",14476,1,7,0
238,"Cured Leather Boots",14474,1,8,0
239,"Cured Leather Gloves",14475,1,10,0
285,"Scalemail Vest",16101,1,5,0
286,"Scalemail Pants",10400,1,7,0
287,"Scalemail Boots",12745,1,8,0
647,Destiny,20190,4,17,1
710,"Bracers of the People's Militia",16936,1,9,0
711,"Tattered Cloth Gloves",16581,1,10,0
714,"Dirty Leather Gloves",14445,1,10,0
718,"Scalemail Gloves",6986,1,10,0
719,"Rabbit Handler Gloves",16970,1,10,0
720,"Brawler Gloves",2368,3,10,0
727,"Notched Shortsword",26577,2,13,3
744,"Thunderbrew's Boot Flask",18059,2,12,0
753,"Dragonmaw Shortsword",20094,2,13,3
754,"Shortsword of Vengeance",20218,3,13,3
756,"Tunnel Pick",6264,2,17,1
763,"Ice-covered Bracers",17007,1,9,0
766,"Flanged Mace",19621,1,21,3
767,"Long Bo Staff",20443,1,17,2
768,"Lumberjack Axe",5012,1,21,3
776,Vendetta,6452,3,13,3
778,"Kobold Excavation Pick",6259,1,21,1
781,"Stone Gnoll Hammer",19644,1,21,3
789,"Stout Battlehammer",19699,2,21,3
790,"Forester's Axe",19401,2,21,3
791,"Gnarled Ash Staff",20334,3,17,2
792,"Knitted Sandals",16855,1,8,0
793,"Knitted Gloves",14449,1,10,0
794,"Knitted Pants",14450,1,7,0
795,"Knitted Tunic",14154,1,5,0
796,"Rough Leather Boots",22973,1,8,0
797,"Rough Leather Gloves",17068,1,10,0
798,"Rough Leather Pants",22972,1,7,0
799,"Rough Leather Vest",2106,1,5,0
804,"Large Blue Sack",2588,1,18,0
805,"Small Red Pouch",2586,1,18,0
809,Bloodrazor,20033,4,13,3
810,"Hammer of the Northern Wind",19726,4,13,3
811,"Axe of the Deep Woods",19137,4,13,3
812,"Glowing Brightwood Staff",20257,4,17,2
816,"Small Hand Blade",6472,2,13,3
820,"Slicer Blade",6470,2,13,3
821,"Riverpaw Leather Vest",17102,2,5,0
826,"Brutish Riverpaw Axe",19271,2,13,3
827,"Wicked Blackjack",3498,2,13,3
828,"Small Blue Pouch",2584,1,18,0
832,"Silver Defias Belt",6847,2,6,0
833,Lifestone,22978,4,12,0
837,"Heavy Weave Armor",14466,1,5,0
838,"Heavy Weave Pants",14468,1,7,0
839,"Heavy Weave Gloves",14467,1,10,0
840,"Heavy Weave Shoes",16821,1,8,0
843,"Tanned Leather Boots",14470,1,8,0
844,"Tanned Leather Gloves",2101,1,10,0
845,"Tanned Leather Pants",9640,1,7,0
846,"Tanned Leather Jerkin",14472,1,5,0
847,"Chainmail Armor",1019,1,5,0
848,"Chainmail Pants",697,1,7,0
849,"Chainmail Boots",6869,1,8,0
850,"Chainmail Gloves",6871,1,10,0
851,Cutlass,22077,1,13,3
852,Mace,8287,1,13,3
853,Hatchet,22102,1,13,3
854,"Quarter Staff",22147,1,17,2
856,"Blue Leather Bag",1025,1,18,0
857,"Large Red Sack",4056,1,18,0
859,"Fine Cloth Shirt",9880,1,4,0
860,"Cavalier's Boots",3443,1,8,0
862,"Runed Ring",18397,3,11,0
863,"Gloom Reaper",19213,2,13,3
864,"Knightly Longsword",26579,2,13,3
865,"Leaden Mace",5212,2,13,3
866,"Monk's Staff",20357,2,17,2
867,"Gloves of Holy Might",17180,4,10,0
868,"Ardent Custodian",19713,4,13,3
869,"Dazzling Longsword",5163,4,13,3
870,"Fiery War Axe",33458,4,17,1
871,"Flurry Axe",19235,4,13,3
872,Rockslicer,19242,3,17,1
873,"Staff of Jordan",20298,4,17,2
876,"Worn Wooden Buckler",1680,1,14,4
880,"Staff of Horrors",20382,2,17,2
885,"Black Metal Axe",8494,2,13,3
886,"Black Metal Shortsword",20093,2,13,3
888,"Naga Battle Gloves",17182,3,10,0
890,"Twisted Chanter's Staff",20386,3,17,2
892,"Gnoll Casting Gloves",16950,2,10,0
897,"Madwolf Bracers",17011,2,9,0
899,"Venom Web Fang",6459,2,13,3
911,"Ironwood Treebranch",28628,2,17,1
913,"Huge Ogre Sword",20170,2,17,1
914,"Large Ogre Chain Armor",2829,2,5,0
918,"Deviate Hide Pack",1283,1,18,0
920,"Wicked Spiked Mace",19703,2,13,3
922,"Dacian Falx",22097,1,17,1
923,Longsword,22080,1,21,3
924,Maul,22131,1,17,1
925,Flail,4351,1,21,3
926,"Battle Axe",22108,1,17,1
927,"Double Axe",22106,1,13,3
928,"Long Staff",22151,1,17,2
931,"Deprecated Heavy Brown Sack",1183,1,18,0
932,"Fel Steed Saddlebags",6430,1,18,0
933,"Large Rucksack",1282,1,18,0
934,"Stalvan's Reaper",19405,3,13,3
935,"Night Watch Shortsword",8274,3,13,3
936,"Midnight Mace",5215,3,13,3
937,"Black Duskwood Staff",20329,3,17,2
940,"Robes of Insight",16676,4,20,0
942,"Freezing Band",9835,4,11,0
943,"Warden Staff",20256,4,17,2
944,"Elemental Mage Staff",20253,4,17,2
964,"Deprecated Red Linen Shirt",9744,1,4,0
983,"Red Linen Sash",4878,1,6,0
996,"Ring of Righteous Flame (TEST)",3453,1,11,0
997,"Fire Sword of Crippling",859,1,21,3
1008,"Well-used Sword",1550,1,21,3
1009,"Compact Hammer",8583,2,21,3
1010,"Gnarled Short Staff",20440,1,17,2
1011,"Sharp Axe",19273,1,21,3
1020,"Leather Helmet D (Test)",13552,1,1,0
1021,"Leather Helmet A (test)",13551,1,1,0
1024,"Plate Helmet D2 (test)",15304,1,1,0
1025,"Plate Helmet D1 (Test)",15302,1,1,0
1027,"Mail Helmet A (Test)",15294,1,1,0
1028,"Deprecated Dented Skullcap",13275,0,1,0
1076,"Defias Renegade Ring",6012,2,11,0
1077,"Defias Mage Ring",9836,2,11,0
1116,"Ring of Pure Silver",6011,2,11,0
1121,"Feet of the Lynx",703,3,8,0
1131,"Totem of Infliction",9557,2,23,7
1154,"Belt of the People's Militia",6833,1,6,0
1155,"Rod of the Sleepwalker",20327,3,17,2
1156,"Lavishly Jeweled Ring",9839,3,11,0
1158,"Solid Metal Club",19643,1,21,3
1159,"Militia Quarterstaff",4994,1,17,2
1161,"Militia Shortsword",1544,1,21,3
1162,"Pirates Patch (Test)",13219,1,1,0
1166,"Dented Buckler",2208,1,14,4
1167,"Small Targe",18506,1,14,4
1168,"Skullflame Shield",30993,4,14,4
1169,"Blackskull Shield",18816,4,14,4
1171,"Well-stitched Robe",12707,1,20,0
1172,"Grayson's Torch",12313,2,23,7
1173,"Weather-worn Boots",6777,1,8,0
1182,"Brass-studded Bracers",6852,1,9,0
1183,"Elastic Wristguards",16927,1,9,0
1189,"Overseer's Ring",963,2,11,0
1190,"Overseer's Cloak",15120,2,16,0
1192,"Deprecated Overseer's Helm",13277,0,1,0
1193,"Banded Buckler",27782,1,14,4
1194,"Bastard Sword",22093,1,17,1
1195,"Kobold Mining Shovel",7495,1,17,1
1196,Tabar,22114,1,17,1
1197,"Giant Mace",5226,1,17,1
1198,Claymore,22095,1,17,1
1200,"Large Wooden Shield",18663,1,14,4
1201,"Dull Heater Shield",2161,1,14,4
1202,"Wall Shield",2329,1,14,4
1203,"Aegis of Stormwind",2594,3,14,4
1204,"The Green Tower",1644,4,14,4
1207,Murphstar,5223,2,13,3
1211,"Gnoll War Harness",14260,2,5,0
1213,"Gnoll Kindred Bracers",3613,1,9,0
1214,"Gnoll Punisher",19625,2,13,3
1215,"Support Girdle",16942,2,6,0
1218,"Heavy Gnoll War Club",5527,2,17,1
1219,"Redridge Machete",20122,2,13,3
1220,"Lupine Axe",19232,2,17,1
1254,"Lesser Firestone (DEPRECATED)",24380,1,28,0
1259,"JYoo test item",30392,0,21,3
1263,"Brain Hacker",22215,4,17,1
1264,Headbasher,5530,2,17,1
1265,"Scorpion Sting",20156,3,13,3
1270,"Finely Woven Cloak",23113,2,16,0
1273,"Forest Chain",12723,2,5,0
1275,"Deputy Chain Coat",1019,2,5,0
